champion,Q852061
winston,Q230179
saunders,Q2227672
lone,Q1869199
returned,-1
centres,Q62207
programme,Q768396
humana,Q910866
hum,Q2922301
fin,Q778612
mesa,Q623319
juan,Q475210
renewed,-1
simon,Q1962932
shut,Q7505510
inter,Q236203
entitles,-1
gwf,-1
guardian,Q293213
palm,Q231003
punitive,Q186361
calling,Q523990
midday,Q168182
candidate,Q618536
simmons,Q421645
borg,Q220652
bor,Q1346524
reed,Q7585483
tied,Q60409437
carroll,Q231840
arguments,Q186619
tend,Q7699562
thinks,-1
saving,Q319622
condere,-1
supplied,-1
fl,Q224805
metro,Q224373
mobile,Q228924
spar,Q97482159
alpha,Q9887
reph,-1
mcdonnell,-1
manages,-1
dr,Q224271
optical,Q14620
yugoslavia,Q36704
composed,Q226952
safeguard,Q3271761
deter,Q4821052
alleges,-1
violated,Q7933101
fiduciary,Q537098
suppliers,Q1824206
carefully,-1
urge,Q396341
tactics,Q354906
conagra,Q1123399
cag,-1
monfort,Q1123760
beef,Q192628
domestically,Q5290146
internationally,-1
paradyne,-1
contingent,Q1359069
false,Q236339
dismissal,Q5282362
jerry,Q566554
succeeding,-1
wiggins,Q114363
marketplace,Q330284
men,Q8441
testimony,Q1196258
territorial,Q183366
violation,Q7933104
fe,Q224777
appeals,Q329777
icc,Q219343
reconsider,Q7302769
papers,Q410088
reopen,-1
rail,Q3417678
hall,Q240854
reconsideration,Q60761444
iea,-1
cutbacks,Q52205731
iraqi,Q1030492
jordan,Q810
liquids,Q11435
centrally,-1
sands,Q243300
norwegian,Q2001301
yearly,Q577
mature,Q16876573
redemption,Q125331
gordon,Q224227
retire,Q946865
wichita,Q249598
fountain,Q483453
refinancing,Q1751574
heavier,-1
retroactively,Q4393721
hunt,Q36963
carter,Q223912
ftc,Q405556
viner,Q7932453
heck,Q1592947
hex,Q229378
carpet,Q163446
felt,Q189964
strikers,Q280658
petrobras,Q210047
navigation,Q102066
milwaukee,Q37836
assessing,-1
delaware,Q1393
chancery,Q5070820
buckstein,-1
judgement,Q12621536
enjoin,Q6495575
investigate,Q345847
ivey,Q1169020
scandinavia,Q21195
martin,Q28492
vik,Q303521
vbi,-1
islands,Q23442
space,Q107
ssmc,-1
forbes,Q25161472
revlon,Q1459595
macandrews,-1
borealis,Q302452
faraway,Q5434843
district,Q149621
finland,Q33
importers,-1
dome,Q12493
reaffirms,-1
permian,Q76402
dmp,-1
annesley,Q2627150
inquiry,Q21004260
encor,-1
commented,-1
fairly,Q37330847
allowable,-1
biotech,Q7108
plaza,Q2997369
allies,Q878249
broadly,Q18395343
consistent,Q1319773
coalition,Q124964
forming,Q5470204
story,Q958511
headline,Q1313396
rhine,Q584
stretch,Q287593
border,Q133346
bonn,Q586
bans,Q246271
hawker,Q1222986
siddeley,Q2281677
taft,Q297056
tfb,-1
narragansett,Q442015
dudley,Q213832
fbc,Q424336
sfx,Q358012
petition,Q697279
outlines,Q4383565
shifts,-1
cineplex,Q2972805
odeon,Q678993
nordbanken,Q1123823
fermenta,-1
deposited,-1
el,Q224099
debtor,Q157470
overdue,Q92768458
advance,Q299086
crown,Q170984
safety,Q10566551
appliances,Q2144709
filter,Q108174
pennsylvania,Q1400
taxable,-1
heineken,Q854383
scrip,Q2902809
cyprus,Q229
lawsuits,Q697327
injury,Q193078
dixon,Q226512
evans,Q224935
realization,Q7301281
twin,Q159979
lock,Q366453
army,Q37726
upper,Q2499691
sections,Q189171
loading,Q2880866
se,Q9326060
suspends,-1
earthquake,Q7944
indefinitely,Q16797511
installations,Q229454
cepe,Q19740
tremor,Q223907
attached,Q4817884
km,Q828224
quake,Q1175605
ecuadorean,Q736
registered,Q16881989
colombia,Q739
nationwide,Q1216768
insurer,Q43183
offsetting,Q1488967
women,Q467
memories,Q492
cmin,Q5137314
bush,Q224168
upwards,Q219266
unaudited,-1
clevite,Q5132340
paribas,Q3365072
threatening,Q707125
nigel,Q661284
stated,-1
risen,Q2154676
temperton,Q931723
cheaper,-1
cox,Q250048
hoare,Q21508272
govett,Q61043044
widely,-1
warburg,Q968
ranks,Q4389919
mind,Q450
imposition,Q779970
guide,Q14290559
intentions,Q706622
bancroft,Q246311
zico,Q3575476
requiring,-1
automated,Q184199
airco,Q169052
organized,Q3817282
brand,Q431289
abn,Q287387
encouraging,-1
nederland,Q257820
proposing,-1
facilitate,Q2850039
overly,Q6570217
debtors,Q157470
sovereign,Q2304859
tin,Q1096
rocky,Q188652
insituform,Q6038182
exercised,Q219067
liffe,Q2376848
eurodollar,Q1374984
ft,Q1389760
detailed,-1
colombian,Q5147915
ecopetrol,Q1282130
unlike,-1
indefinite,Q16797511
panic,Q208450
residents,Q2145687
edwin,Q240931
soo,Q1230747
dauphin,Q228902
colonial,Q1552936
holland,Q102911
chubb,Q406758
send,Q11242478
industrialized,Q202398
draw,Q234634
destocking,-1
ultimate,Q11242646
readily,-1
pattern,Q2083958
tele,Q13522652
amendment,Q1269627
knows,Q9081
edelman,Q21448897
multifoods,-1
hadson,-1
asher,Q1775026
hancock,Q227177
fabrics,Q28823
sued,Q697327
avoiding,Q696606
accompanying,Q504514
phone,Q11035
radical,Q2125865
scrap,Q917714
formula,Q976981
filings,-1
gartner,Q174198
sprint,Q1421125
gte,-1
ut,Q224279
altered,Q4736298
inertia,Q122508
confirms,-1
soros,Q12908
dissatisfied,Q621206
protecting,Q2251595
degree,Q383185
issuer,Q1337949
depended,-1
concert,Q182832
quantum,Q46344
antilles,Q166131
crazy,Q505619
advantages,Q1903435
vista,Q224205
carling,Q1041750
keefe,Q6382690
bhd,-1
rothmans,Q95186828
elders,Q7233501
ixl,-1
ferry,Q25653
sinking,Q15847659
herald,Q696819
townsend,Q255226
unspecified,-1
quoting,Q1603129
pilot,Q2095549
capsized,Q1522772
salvage,Q539079
smit,Q2122984
zeebrugge,Q184383
accident,Q171558
divers,Q395524
nearby,Q13512494
pull,Q357938
wind,Q8094
lloyds,Q1866936
pete,Q1177745
pressed,Q17112136
surely,Q7645623
prompt,Q3259104
peters,Q294946
wilf,Q1421511
gobert,Q1533518
carried,-1
actually,Q344590
arguing,Q186619
connected,Q3687027
arrived,-1
stabilizing,Q344864
continuous,Q382618
holly,Q117085
sugar,Q11002
hundred,Q37413
rescued,-1
thoresen,Q21450356
rescue,Q1341429
trapped,Q410733
pier,Q863454
fox,Q8331
preferences,Q908656
howell,Q294703
microfilm,Q830450
com,Q218136
hmo,Q20035455
assumed,-1
gerald,Q82540441
schwab,Q1291840
safe,Q471898
physicians,Q39631
downtown,Q1050303
entitled,Q18284625
dumez,Q1475312
westburne,-1
saskatchewan,Q1989
fm,Q210319
cyacq,-1
audio,Q4650720
ava,Q11189756
requests,Q1906515
stem,Q346340
salaries,Q194489
moreover,Q6911408
breakeven,Q15213823
covenants,Q400800
notification,Q3344505
nelson,Q224711
families,Q8436
hanna,Q1196204
pieces,Q410669
sandoz,Q507154
king,Q12097
alabama,Q173
sierra,Q229248
metex,-1
escrow,Q338451
supports,-1
disaster,Q3839081
died,Q4
inside,Q398887
governor,Q132050
province,Q34876
refile,-1
fails,-1
contain,Q1128498
weiss,Q252713
fhlbb,-1
acquisiton,-1
bay,Q39594
feared,Q44619
perhaps,Q7168326
sixth,Q7533097
ringgit,Q163712
deficiency,Q2303330
negara,Q16877895
indian,Q226324
latter,-1
rank,Q4389919
worst,Q577714
fears,Q44619
incident,Q1174821
liner,Q1826496
sank,-1
lives,Q1866455
ireland,Q22890
lawrence,Q219262
wilhelm,Q2850854
ferries,Q25653
sime,Q7517517
darby,Q402268
doubts,Q34302
roll,Q419647
lord,Q332209
routine,Q416865
bow,Q401865
doors,Q36794
shall,Q1624317
happened,-1
governmental,Q7188
built,Q4986661
cooper,Q223935
perfectly,-1
landslide,Q167903
town,Q3957
carries,-1
mediterranean,Q4918
marines,Q1898583
leaders,Q484275
shipowners,-1
navy,Q4508
incidents,Q6014628
jungle,Q191086
lago,Q350825
agrio,-1
balao,Q4850064
repair,Q1043452
blow,Q360503
costing,Q1077518
squeezed,Q7582223
eighth,Q5349081
caracas,Q1533
lusinchi,-1
venezuelan,Q717
interior,Q446775
yields,Q596465
unwillingness,-1
foreigners,Q1272171
stepped,Q1206770
maturity,Q1182691
types,Q2463013
medium,Q225664
calculation,Q622821
narrows,Q6966332
narrowed,-1
shipment,Q651658
linked,Q224246
processing,Q229289
man,Q8441
fibres,Q161
affecting,Q1184551
circulation,Q205873
amoco,Q465952
basin,Q2887180
concession,Q1221457
liu,Q804970
metres,Q11573
endorse,Q28478941
signals,Q174984
unanimously,Q1309409
amended,Q462088
sosnoff,-1
caesars,Q109236
caw,Q2930992
mts,Q225598
resorts,Q875157
gaming,Q533967
gluck,Q130759
urging,-1
obstacles,-1
trump,Q408352
crosby,Q249593
iomega,Q1327887
laid,Q6473744
discovery,Q211051
permanent,Q405696
layoff,Q1462531
affects,Q1184551
personnel,Q656365
inch,Q218593
disk,Q224358
renault,Q6686
vogtle,Q947549
oustanding,-1
gencorp,Q392445
walt,Q250260
disney,Q7414
cellular,Q1178030
cranes,Q232612
mitsui,Q899122
reopened,-1
mcdowell,-1
amc,Q226483
nationale,-1
amo,Q231444
relevant,Q7310973
ga,Q224461
schedule,Q7271585
papyrus,Q125576
thus,Q7799478
passing,Q15880548
threshold,Q359787
diesel,Q1221452
waiver,Q797551
lloy,-1
retractable,-1
ii,Q227951
accrued,-1
wish,Q241625
wonnacott,Q16867245
conclusion,Q1399174
aiming,-1
procurement,Q829492
efficiency,Q1034411
creation,Q63244734
alternatives,Q4736604
bsn,-1
gy,Q225766
rko,Q267282
khj,-1
dis,Q249332
renew,Q2143919
challenged,Q6554155
proceedings,Q1143604
westinghouse,Q236984
wx,Q417235
wor,Q563770
appealed,Q329777
akron,Q163132
barclays,Q245343
imatron,-1
installation,Q229454
robins,Q9311268
magnetic,Q3294789
drives,Q4167568
peripheral,Q178648
honeywell,Q898208
hon,Q423511
bull,Q693690
dependent,Q4198163
pittsburgh,Q1342
restraining,-1
misleading,Q170028
lube,Q302131
dixie,Q721983
ti,Q219218
caro,Q204064
dilute,Q16033661
erie,Q234061
huron,Q548828
waves,Q1210948
degrees,Q383185
montana,Q1212
wisconsin,Q1537
commissioners,Q524778
viewed,Q7928788
tap,Q340788
participants,Q1178827
foster,Q226141
surprised,Q333173
highs,Q1206488
terra,Q400922
meters,Q11573
recoverable,Q1202008
graven,Q1543925
canterra,-1
bob,Q832635
calgary,Q36312
combining,Q5150919
blocks,Q6536648
query,Q7385
toys,Q11422
takefman,-1
basically,Q16868955
voice,Q7390
sound,Q11461
matches,Q37507
norcros,-1
achieved,Q48976744
advising,Q4686783
component,Q226635
flows,Q8961886
uaw,Q1814260
creating,Q63244734
cease,Q5055756
moody,Q296126
downgrade,Q1253258
baa,Q356105
probability,Q9492
amusement,Q2844542
deductible,Q1759284
finanziaria,Q3745637
binding,Q137771
compagnie,-1
ing,Q365005
olivetti,Q673267
ai,Q208027
tobacco,Q1566
resumed,-1
fitness,Q523402
livingwell,-1
shc,Q562992
eugene,Q941482
lows,Q231459
expectation,Q74013814
hand,Q33767
unfair,Q7884285
ronald,Q2532287
montgomery,Q223831
regarded,-1
jeep,Q30113
franchise,Q366459
bramalea,Q17987348
sized,Q322481
hikes,Q12014035
sgl,-1
peninsular,Q34763
oriental,Q205653
convention,Q19969914
insurances,Q43183
citibank,Q857063
modified,Q6889351
providence,Q224317
leon,Q483298
dart,Q278999
ual,Q407243
apollo,Q37340
henley,Q413072
propane,Q131189
counties,Q28575
mt,Q231957
conclude,-1
ton,Q11247037
renamed,Q7312521
suitors,Q376596
studied,Q340383
nat,Q227625
rural,Q175185
cominco,Q688725
drought,Q43059
tanker,Q1050314
keller,Q430737
furman,Q422015
selz,Q629218
qualification,Q21071764
reading,Q199657
shopping,Q830036
arco,Q229422
richfield,Q255100
biotechnology,Q7108
laboratory,Q483242
mathematical,Q395
pagex,-1
renegotiation,-1
debenture,Q1378829
waivers,Q7960668
ps,Q193309
indicates,-1
agent,Q137372
leaseback,Q633304
jannock,-1
gravity,Q11412
imo,Q218304
bci,-1
arizona,Q816
darta,-1
sole,Q2298702
magnitude,Q25478470
febres,Q1399347
cordero,Q26736549
miles,Q253276
repaired,-1
ocean,Q9430
homes,Q7743
exact,Q16033993
injured,Q1064904
lived,Q3114148
theodore,Q233844
hpr,-1
publishers,Q3972943
intensive,Q10965321
csx,-1
conoco,Q1126518
chiefs,Q412365
timetable,Q7271585
cinema,Q567053
noranda,Q7050251
avert,Q4655041
dibona,Q1209314
dependence,Q183545
floor,Q217164
windfall,Q1208720
wildlife,Q241741
refuge,Q4430621
afford,Q531136
alaskan,Q797
imported,Q62955
mo,Q218120
distillers,Q5282951
heublein,Q17110794
rjr,-1
nabisco,Q1545718
grand,Q247153
jose,Q1704104
ceasars,-1
mulroney,Q21491429
examined,-1
masse,Q340355
richmond,Q204739
beverages,Q40050
achieve,Q4673667
hawley,Q294456
footwear,Q161928
santana,Q223986
sports,Q349
dupont,Q232406
dd,Q224809
reversed,Q7318167
cbt,Q1022997
couple,Q15643227
temporarily,Q2403104
entirely,-1
corn,Q11575
soybeans,Q11006
deciding,Q973405
architectural,Q12271
mini,Q36024
natalie,Q1215901
koether,-1
valuing,-1
gotten,-1
refinance,Q1751574
trident,Q271628
atco,Q753981
lindner,Q4261994
files,Q1196501
cincinnati,Q43196
wealthy,Q200535
fort,Q57821
boone,Q296601
symbion,Q502012
pincus,Q1565036
mcgill,Q412625
rig,Q560418
count,Q3519259
promoting,-1
miyazawa,Q21488041
helping,Q5710255
kiichi,Q85846312
prevented,-1
dated,Q16997
essential,Q443536
cables,Q1796060
sister,Q595094
suspicion,Q417280
properly,-1
tank,Q12876
attention,Q6501338
investigations,Q345847
modest,Q21492587
armed,Q4792951
geared,Q143873
harder,Q411349
nec,Q219203
aggressive,Q191797
upturn,Q16174672
easier,Q16775334
campaign,Q679087
dram,Q293695
dynamic,Q30085855
memory,Q492
merely,-1
effectiveness,Q1296024
sumita,Q1354773
satoshi,Q2226201
comprehensive,Q5156950
industrialised,Q202398
gradual,Q849305
caution,Q377906
indicators,Q226621
oteiba,-1
riyadh,Q3692
constructive,Q28130034
importance,Q16886469
irna,Q649695
everything,Q2165236
fahd,Q1177985
visnews,Q3561097
exporter,Q182722
pleas,-1
hillsdown,-1
berisford,Q37477359
poultry,Q178559
meat,Q10990
hapag,Q1584107
queries,Q7385
supervisory,Q1175042
veba,Q315502
dresdner,Q1258529
forint,Q47190
devalued,Q220788
comecon,Q191582
strategies,Q185451
placing,Q1794067
creditanstalt,Q694468
schillings,Q1388481
tesco,Q487494
hillards,Q5762525
tsco,-1
administrative,Q304157
operational,Q1207416
dramatically,Q25372
retroactive,Q4393721
flag,Q14660
meantime,Q6804099
objectives,Q341954
proven,Q2396419
probable,Q9492
queensland,Q36074
murdoch,Q21071761
preussag,Q573103
amalgamated,Q452862
crash,Q224992
ems,Q233794
infusion,Q61951
expiring,-1
btr,-1
pooled,-1
reservations,Q2145614
argentine,Q2365041
definition,Q101072
played,Q18026962
ideas,Q131841
processes,Q229289
praised,-1
libor,Q207351
interesting,Q616314
spreads,Q1510102
corazon,Q525436
aquino,Q295603
owes,-1
existed,Q468777
narrowing,Q1939117
sufficiently,-1
pictures,Q478798
rescheduling,-1
sdr,Q231164
defuse,Q649416
anger,Q79871
guaranty,Q16246919
freeze,Q409967
looming,Q6675553
switch,Q5320
src,Q359211
swaps,Q230234
javier,Q406086
espinosa,Q1952545
presidency,Q3558349
kind,Q1178576
quito,Q2900
garcia,Q396315
bernstein,Q21660706
schlumberger,Q1425316
slb,Q407349
dresser,Q1216975
di,Q224258
mcdermott,Q6722251
freedman,Q841571
baird,Q410408
vi,Q214743
schmidt,Q18868
chiari,Q242264
androsch,Q877350
schilling,Q408950
cpc,Q255790
hi,Q224000
colleagues,Q1751358
emphasize,-1
furthermore,Q16889909
relation,Q230259
refined,-1
standing,Q1986098
restricting,-1
novo,Q3345502
danish,Q365952
band,Q233765
intervened,Q365681
loral,Q50412311
divested,Q1200733
trico,Q7841232
triton,Q105245
lasmo,Q6493756
et,Q537953
holiday,Q1445650
scottish,Q364883
rainbow,Q1052
arrive,Q29912990
compensate,Q359765
arturo,Q222523
hernandez,Q12175844
grisanti,Q6767827
hovnanian,Q5917261
bayer,Q152051
visual,Q558363
regency,Q477406
goodwill,Q1199427
carolina,Q729639
anova,Q42297
shells,Q224038
automaker,Q190117
usual,Q7902235
unveiled,Q7897802
toledo,Q374202
sites,Q1199068
history,Q309
foresaw,Q14595968
overhead,Q1862556
incur,-1
intelligent,Q83500
recording,Q399857
digital,Q179322
recorders,Q1217525
gleason,Q571783
tri,Q281941
adams,Q217431
exciting,Q2487946
delta,Q903600
ben,Q816407
penney,Q16881094
impressed,Q411291
globe,Q133792
silicon,Q670
assistant,Q361991
oaks,Q411503
chi,Q1312606
pont,Q292410
benefitting,-1
withdraws,-1
pledges,Q7204419
abbett,Q4663936
gw,Q225960
benson,Q227266
seizer,Q48674256
nursing,Q121176
experienced,Q164359
nominees,Q1156895
br,Q218689
evidence,Q1347572
gilts,Q566087
indeed,Q1045367
stockbrokers,Q4182927
indication,Q451942
significance,Q2285199
societies,Q8425
inevitable,Q6028613
keen,Q1216428
scope,Q2260509
pcr,Q176996
vining,Q412098
vulcan,Q384315
willy,Q416744
clercq,-1
print,Q81673
quaker,Q170208
oats,Q12104
oat,Q12104
verhofstadt,Q56541227
le,Q235257
expressing,Q398752
withheld,-1
judgment,Q12621536
parliamentary,Q166747
marietta,Q1659041
ml,Q219113
moderately,-1
fiberglas,Q7224880
complement,Q19924622
farah,Q3066784
omitted,-1
provincial,Q3408502
tier,Q344230
unrelated,Q7897366
sumitomo,Q717318
tenneco,Q1509038
olson,Q1902877
fend,Q5443212
unwanted,Q92778737
unidentified,Q7884835
saga,Q180494
paralax,Q165074
music,Q638
jpm,-1
denim,Q652698
anthony,Q2519783
ich,Q423162
invacare,Q4994426
sessions,Q450164
qtrs,-1
federated,Q43702
herbert,Q960228
topped,Q1128260
hafts,Q1593696
hydro,Q416537
laurentiis,-1
coca,Q66793593
cola,Q134041
ko,Q223994
microwave,Q127995
mutually,Q445215
intellectual,Q58968
copyrights,Q1297822
calmat,-1
drops,Q404877
discontinue,-1
rochester,Q218292
rtc,Q349746
canton,Q399799
iroquois,Q68518
penobscot,Q774932
aero,Q228790
flight,Q206021
lugar,Q1875996
dockworkers,Q1537445
manila,Q1461
considerations,-1
aside,Q2858150
copy,Q55368
thwart,Q1263450
maintains,-1
businessman,Q43845
valley,Q39816
barring,Q4863626
confined,Q22075036
kiena,-1
cast,Q365229
campbell,Q226474
red,Q3142
crk,-1
rowe,Q453671
toughen,-1
sensitive,Q7451046
toned,Q344272
aides,Q2827821
mandate,Q233671
penalties,Q237891
gephardt,Q5548659
missouri,Q1581
democrat,Q342240
imbalances,Q1911050
whatever,Q399194
committees,Q865588
worker,Q13440398
cautiously,-1
murakhovsky,Q4307891
rhone,Q602
poulenc,Q191408
fruit,Q1364
juice,Q8492
encouraged,-1
examination,Q17987816
pdvsa,-1
telex,Q66175
doubtful,Q34302
recognise,Q13725110
securing,Q2526135
theta,Q14398
recognize,Q18733
directed,Q3708947
mile,Q253276
oilfields,Q1845437
imposes,-1
hiring,Q5769828
desire,Q775842
modern,Q438297
relax,Q413895
beer,Q44
cigarettes,Q1578
wider,-1
walk,Q6537379
leigh,Q402542
pemberton,Q348251
robin,Q228838
dinner,Q657221
seats,Q2207370
unwelcome,Q7897819
contested,-1
artificial,Q14623823
damaging,Q481609
elsewhere,Q5367532
itsu,Q6094914
missiles,Q974850
intelligence,Q83500
gathering,Q5527345
worsen,-1
strained,Q2353244
caspar,Q18145725
weinberger,Q21450753
spurred,-1
troops,Q1080137
resign,Q796919
pazzionotto,-1
demanding,Q4402708
nzi,-1
bil,Q860237
mike,Q361309
bearer,Q4876711
places,Q1794067
conglomerate,Q225670
slid,Q7540287
cci,-1
ncb,-1
shareholding,Q381136
islamic,Q432
sama,Q416651
tightening,-1
accruing,-1
strongest,Q48838598
ample,Q4748472
challenges,Q6554155
lawyer,Q40348
ward,Q229213
consultants,Q15978655
gone,Q397592
mac,Q243909
argyll,Q652539
assumes,-1
rowntree,Q7372262
australasia,Q45256
speciality,Q7574930
pat,Q351660
grocery,Q1295201
suchard,Q21491218
glynwed,-1
arose,Q416708
jefferson,Q224343
vat,Q351600
ste,-1
eaux,Q4545003
jerome,Q44248
somewhat,-1
leisure,Q180910
med,Q424360
metropole,Q21855250
widening,Q20812556
gus,Q1555305
pantherella,-1
seasonally,Q24384
ounces,Q48013
tonnage,Q491774
advice,Q4686783
pope,Q19546
repurchased,-1
kaplan,Q226522
iv,Q226365
unstable,Q405372
getty,Q414499
reaching,Q16872728
thinking,Q9420
inroads,Q6036950
eliminating,-1
document,Q49848
rehabilitation,Q227301
sand,Q34679
shattner,-1
placement,Q2097870
penny,Q234129
accessories,Q1044576
devices,Q18960408
detroit,Q12439
winley,Q17148270
remittances,Q1351807
ineffective,-1
relaxed,Q414841
seal,Q257102
dubilier,-1
cautioned,Q377906
engineered,Q11023
pumps,Q134574
bernard,Q11134722
dainippon,-1
ink,Q127418
quixote,Q480
compact,Q15803740
knoll,Q1725485
morris,Q223908
mulls,-1
publishes,Q3972943
rupees,Q178843
provisional,-1
operative,Q7097817
enjoy,Q11055283
fulfill,Q5507838
contractual,Q93288
petrosurance,-1
reinsurance,Q476118
neighbouring,Q123705
exceptions,Q538934
disadvantage,Q5281228
odgers,Q20997517
wireless,Q249
cawl,Q5038482
salary,Q194489
dip,Q233382
instinet,Q1651946
eligible,Q3587788
length,Q36253
dayton,Q34739
hudson,Q223401
corpus,Q226250
christi,Q5109210
fragrance,Q2151963
rpt,Q397425
dixons,Q5284985
rescinded,Q479208
alleghany,Q296634
dh,Q192468
orbanco,-1
rainier,Q295573
letters,Q293618
vigorously,-1
comparisons,Q1720648
applicable,-1
explosion,Q179057
evening,Q7725
jacksonville,Q16568
centel,Q5059055
cnt,Q233574
relationship,Q62075492
plain,Q160091
fundamentally,-1
acre,Q81292
prudhoe,Q2090114
fish,Q152
aspects,Q38113
observers,Q401355
fired,Q5452075
disappointed,Q3029767
angry,Q79871
lvi,-1
sam,Q6791
acceleration,Q11376
optics,Q14620
blue,Q1088
deliver,Q3705086
solv,-1
relieving,Q226168
gardner,Q232460
bar,Q187456
tennessee,Q1509
arkansas,Q1612
cytrx,Q5201295
biopool,-1
develops,-1
cardiovascular,Q11068
blood,Q7873
shutdowns,-1
netback,-1
tighter,Q1937716
esso,Q867662
italiana,Q11286699
bp,Q152057
netbacks,-1
carlos,Q225306
parker,Q224924
granite,Q41177
magna,Q240063
mth,-1
ipco,-1
tom,Q223944
hockin,Q18330991
asamera,-1
alleghney,-1
barred,Q4863626
personally,Q43943889
supplying,-1
scenario,Q1090839
happens,-1
volcker,Q16873859
fighting,Q650711
pentagon,Q127840
sanchez,Q1158617
ffmc,-1
effected,Q48816917
bruce,Q579371
lyons,Q456
hiram,Q250071
walker,Q223941
gooderham,Q37506098
holden,Q29281
spirits,Q193291
objection,Q3348126
promotion,Q233269
endorsed,-1
peaked,-1
senators,Q1287067
aloha,Q508880
hampshire,Q23204
bankshares,-1
manner,Q1620068
arthur,Q1778168
young,Q241954
anticipates,Q255266
eager,Q1276723
interconnect,Q1665949
gates,Q233960
learjet,Q1336983
mounting,Q364466
cancelled,Q331693
guarantees,Q93288
barter,Q484830
library,Q7075
appraisal,Q4781689
gerber,Q1318993
reg,Q7276324
flumar,-1
delaying,Q352862
adsteam,-1
grenfell,Q691476
publisher,Q3972943
antonio,Q7141520
acmex,-1
cheetham,Q5089466
denies,Q1343202
breaking,Q1295363
implementing,-1
violating,Q7933104
yards,Q482798
cgrt,-1
slowdown,Q31351
alusuisse,Q448042
schweizerische,-1
aluminium,Q663
jakarta,Q3630
turbulence,Q190132
defending,-1
supercomputer,Q121117
tension,Q227640
violate,Q7933104
murtha,Q16877634
commerzbank,Q157617
cbkg,-1
consequences,Q1175608
pollution,Q58734
fuller,Q122731
ciba,Q235768
geigy,Q507154
hans,Q399950
jucker,Q21517854
foreseeable,-1
installed,Q229454
bauxite,Q102078
wiped,Q8026712
assure,-1
rosenmuller,Q56540500
cook,Q225337
strait,Q37901
dreyer,Q21507264
vw,Q246
volkswagen,Q246
vowg,-1
rejecting,-1
structured,Q381442
koninklijke,Q2102344
nortek,-1
zeebregts,-1
lawyers,Q40348
elder,Q7233501
beerman,Q20996867
echlin,Q56243852
ech,-1
symbol,Q80071
hemdale,Q3784765
iml,-1
fluctuation,Q5462624
ecu,Q227497
vision,Q1714531
envisaged,-1
watched,Q27792479
realignment,Q7301201
governors,Q132050
sceptical,Q1395219
leo,Q3980423
resumes,Q950511
hia,Q1497994
comsat,Q5157678
meston,Q6822143
presentation,Q604733
alfred,Q228187
yeo,Q562547
stimulation,Q4114622
bpi,Q406770
flags,Q14660
telemedia,Q3517315
magazines,Q41298
seventh,Q3479024
definitely,Q5251596
reportedly,-1
progressing,Q2351730
sunter,Q7641685
sporting,Q398098
paolo,Q15731774
pacts,-1
focusing,Q5463959
confidential,Q2476929
seismic,Q83371
pumped,Q967914
colon,Q1110523
tumaco,Q1005555
modestly,Q11199149
beverly,Q257952
wolverine,Q14334
maxtor,Q960876
avalon,Q216901
dna,Q7430
labatt,Q1422061
lifestyle,Q346799
modify,Q6889353
monitoring,Q2143522
associations,Q2864132
uruguay,Q77
discipline,Q1315911
restrictive,Q7316334
raw,Q228378
weyerhaeuser,Q1780382
varity,Q7915946
operators,Q228588
sending,Q7718211
popular,Q400146
speculators,Q107885
slowing,Q3711325
hospital,Q16917
tribune,Q190401
cablevision,Q48739587
sheppard,Q413222
zondervan,Q8073886
hollinger,Q966623
southam,Q2560184
mlx,-1
beaver,Q47542
creek,Q293427
fdic,Q1345065
adjusts,-1
incorrect,Q16879044
exploring,Q6502154
champlin,Q252744
unp,Q4002033
prat,Q349282
insufficient,-1
brasil,Q155
micron,Q175821
shake,Q222977
occurs,-1
revisions,Q341284
kleinwort,Q6420367
kahan,Q6346800
gnp,-1
amortization,Q4064479
hormuz,Q347009
missile,Q974850
naval,Q4508
tehran,Q3616
warns,Q161561
danger,Q3013486
democrats,Q342240
veto,Q178074
delors,Q153425
alliance,Q878249
implemented,Q6007175
adhere,Q88075159
ahmed,Q406294
norway,Q20
attain,-1
citroen,Q6746
ax,Q39397
calm,Q15402295
goals,Q254367
coordinated,Q399555
initiatives,Q660064
europeans,Q1464982
stimulus,Q1172295
karl,Q348783
otto,Q18029644
poehl,Q963388
combinations,Q202805
winthrop,Q299725
knowlton,Q176676
facts,Q188572
siew,-1
killed,Q28248
modifications,Q6889353
weighing,Q25288
scrutiny,Q7439360
instance,Q437448
stream,Q47521
ratings,Q1465769
portfolios,Q79407829
specialist,Q64512396
bhp,Q407387
brkn,-1
poclain,Q687687
outflows,-1
miguel,Q1932578
smc,-1
diaz,Q5255562
pcgg,-1
brewer,Q869095
elxa,-1
andres,Q415485
soriano,Q403257
flats,Q354943
inflows,-1
accelerate,Q11376
ferdinand,Q3276175
marcos,Q765293
widens,-1
widened,Q439957
mees,Q349368
newsletter,Q264238
comprises,-1
bus,Q5638
baii,-1
spare,Q3492686
bsi,-1
giorgio,Q5905041
calny,-1
taco,Q191655
bakeries,Q274393
zim,Q136198
norsk,Q2001301
richardson,Q1485529
chemclear,-1
exceeds,-1
becor,-1
endotronics,-1
bcw,-1
conn,Q1126133
gear,Q143873
expressions,Q398752
clark,Q1119151
avia,Q27143
reebok,Q466183
dwg,-1
marketable,Q169489
checks,Q446253
confusion,Q557945
bloch,Q884579
compare,Q1720648
irs,Q973587
rolls,Q419647
